nearc4,educ,black,smsa,south,married,exper,lwage
0,7,1,1,0,1.0,16,6.306275
0,12,0,1,0,1.0,9,6.175867
0,12,0,1,0,1.0,16,6.580639
1,11,0,1,0,1.0,10,5.521461
1,12,0,1,0,1.0,16,6.591674
1,12,0,1,0,1.0,8,6.214608
1,18,0,1,0,1.0,9,6.336826
1,14,0,1,0,1.0,9,6.410175
1,12,0,1,0,4.0,10,6.052089
1,12,0,1,0,1.0,11,6.244167
1,9,0,1,0,1.0,13,5.416101
1,12,0,1,0,1.0,8,5.991465
1,11,0,1,0,1.0,7,6.033086
1,11,0,1,0,1.0,13,5.379897
1,16,1,1,0,1.0,9,6.795706
1,14,0,1,0,6.0,4,5.703783
1,12,0,1,0,1.0,16,5.846439
1,14,0,1,0,1.0,9,6.489205
1,10,0,1,0,6.0,10,6.35437
1,12,0,1,0,1.0,14,6.475433
1,18,0,1,1,1.0,8,6.850126
1,18,0,1,0,1.0,10,6.419995
1,15,0,0,0,1.0,11,6.58755
1,12,0,1,0,1.0,10,6.403574
1,12,0,1,0,1.0,14,6.54103
1,18,0,0,0,1.0,10,7.244227
1,12,0,1,0,6.0,8,5.703783
1,18,0,1,0,5.0,8,7.495542
1,12,0,1,0,1.0,7,6.023448
1,14,0,0,0,1.0,9,6.448889
1,12,0,1,0,1.0,7,5.337538
1,12,1,1,0,6.0,7,6.124683
1,16,0,1,0,1.0,2,6.71417
1,18,0,1,0,1.0,10,6.357842
1,11,0,1,0,1.0,11,5.541264
1,16,0,1,0,1.0,8,6.869014
1,10,0,1,0,1.0,15,6.850126
1,18,0,1,0,1.0,10,7.044033
1,6,0,1,0,1.0,15,5.780744
1,11,1,1,0,5.0,7,5.459586
1,12,0,1,0,1.0,16,6.907755
1,9,0,1,0,4.0,11,6.175867
1,15,0,1,0,1.0,11,6.436151
1,11,0,1,0,1.0,17,6.476973
1,12,1,1,0,6.0,6,5.840641
1,16,0,1,1,6.0,2,5.940171
1,12,0,1,0,1.0,6,5.866468
1,13,0,1,0,6.0,6,6.490724
1,17,0,1,0,1.0,5,6.431331
1,12,0,1,0,1.0,7,6.086775
1,12,1,1,0,6.0,8,6.603944
