statefip,year,bmprison,wmprison,alcohol,income,ur,poverty,black,perc1519,aidscapita,state
1,1985,6227.0,4210.0,1.9,11566,8.616667,20.6,25.866339,8.461768,0.67950445,Alabama
1,1986,6657.0,4423.0,1.9,12164,9.083334,23.8,25.827267,8.47358,0.85169166,Alabama
1,1987,7281.0,4803.0,1.89,12826,7.65,21.3,25.777328,8.397089,1.9672137,Alabama
1,1988,7244.0,4605.0,1.89,13698,6.9166665,19.3,25.734392,8.280076,2.7581367,Alabama
1,1989,8056.0,4998.0,1.87,14865,6.616667,18.9,25.69405,8.088959,3.8459067,Alabama
1,1990,9282.0,5421.0,1.92,15723,6.3333335,19.2,25.595875,7.8683624,4.370311,Alabama
1,1991,10119.0,5579.0,1.76,16406,6.875,18.8,25.702427,7.5744863,5.9280496,Alabama
1,1992,10660.0,5658.0,1.79,17327,6.883333,17.3,25.873686,7.4390697,6.812688,Alabama
1,1993,11450.0,6011.0,1.86,17764,6.625,17.4,26.02926,7.4111776,7.356078,Alabama
1,1994,11996.0,6323.0,1.87,18606,5.383333,16.4,26.206093,7.429225,8.192048,Alabama
1,1995,12715.0,6654.0,1.81,19441,5.225,20.1,26.356558,7.4919477,8.448148,Alabama
1,1996,13397.0,6940.0,1.86,20081,4.491667,14.0,26.443373,7.5468783,7.850196,Alabama
1,1997,13784.0,7070.0,1.81,20930,4.4416666,15.7,26.610456,7.5384593,4.3269873,Alabama
1,1998,14080.0,7062.0,1.85,22025,3.8833334,14.5,26.70941,7.493403,4.29087,Alabama
1,1999,15206.0,7788.0,1.87,22722,4.275,15.2,26.842972,7.3990645,3.6567686,Alabama
1,2000,14727.0,7358.0,1.88,23764,4.0666666,13.3,26.936117,7.2434816,3.9308398,Alabama
2,1985,198.0,1238.0,3.78,20321,9.658333,8.7,5.3355293,7.45748,1.3142258,Alaska
2,1986,211.0,1313.0,3.51,19807,11.025,11.4,5.3034697,7.40738,2.204468,Alaska
2,1987,217.0,1348.0,3.46,19357,10.166667,12.0,5.264394,7.298059,1.1123676,Alaska
2,1988,271.0,1380.0,3.32,19907,8.741667,11.0,5.230387,7.1556787,1.2913723,Alaska
2,1989,310.0,1420.0,3.27,21628,6.9333334,10.5,5.1979246,6.95324,2.0103993,Alaska
2,1990,288.0,1390.0,3.33,22804,7.0583334,11.4,5.03644,6.837102,1.8073704,Alaska
2,1991,314.0,1414.0,3.11,23161,8.266666,11.8,4.953708,6.8573275,3.332205,Alaska
2,1992,327.0,1377.0,3.02,23786,8.95,10.2,5.1625433,6.959486,2.887542,Alaska
2,1993,313.0,1325.0,2.55,24538,7.6666665,9.1,5.461102,7.015141,4.504264,Alaska
2,1994,415.0,1492.0,3.03,25050,7.508333,10.2,5.342025,7.1295257,5.138337,Alaska
2,1995,440.0,1630.0,2.86,25504,7.0916667,7.1,5.0708356,7.267228,4.798052,Alaska
2,1996,486.0,1651.0,2.63,25805,7.4583335,8.2,4.9712353,7.4640675,4.4366374,Alaska
2,1997,538.0,1743.0,2.56,26759,7.05,8.8,5.138917,7.6646743,2.2839692,Alaska
2,1998,509.0,1732.0,2.74,27560,6.116667,9.4,5.276637,7.881187,0.96784806,Alaska
2,1999,467.0,1698.0,2.82,28100,6.1583333,7.6,5.3234706,7.9599347,2.2407923,Alaska
2,2000,474.0,1764.0,2.63,29867,6.175,7.6,5.3758383,8.118713,1.115186,Alaska
4,1985,1297.0,6499.0,3.12,13769,6.3333335,10.7,3.5100439,7.7164164,1.3503745,Arizona
4,1986,1452.0,7148.0,3.14,14427,6.8583336,14.3,3.503285,7.6993732,2.9619017,Arizona
4,1987,1675.0,8260.0,2.99,14985,6.45,12.8,3.4939847,7.6082,4.0726786,Arizona
4,1988,1775.0,9199.0,2.94,15627,6.3333335,14.1,3.4867585,7.485192,5.9111333,Arizona
4,1989,2033.0,10036.0,2.89,16403,5.266667,14.1,3.4798274,7.304398,6.819109,Arizona
4,1990,2283.0,10702.0,2.77,17005,5.275,13.7,3.8698525,7.1105075,8.143108,Arizona
4,1991,2432.0,11569.0,2.71,17260,5.7333336,14.8,3.9716406,6.7880387,8.631211,Arizona
4,1992,2654.0,12144.0,2.69,17777,7.3916664,15.8,4.031487,6.678227,11.313315,Arizona
4,1993,2865.0,13164.0,2.62,18293,6.383333,15.4,4.069799,6.6825485,12.224999,Arizona
4,1994,3085.0,14503.0,2.5,19212,6.133333,15.9,4.1674285,6.7246175,11.990326,Arizona
4,1995,3142.0,15793.0,2.44,19929,5.35,16.1,4.2598,6.8330526,12.272986,Arizona
